HOURLY,HOUR,TEMP,RH,WD,WS,PRECIP
15/10/2001,22,-3.8,55,360,3,0
15/10/2001,23,-3.1,57,360,0,0
16/10/2001,0,-3.5,61,360,2,0
16/10/2001,1,-4.2,61,360,0,0
16/10/2001,2,-4.6,67,360,0,0
16/10/2001,3,-6,73,360,4,0
16/10/2001,4,-6.4,73,360,2,0
16/10/2001,5,-7.9,75,360,1,0
16/10/2001,6,-8.3,82,360,4,0
16/10/2001,7,-7.9,82,360,2,0
16/10/2001,8,-8.6,84,360,2,0
16/10/2001,9,7.1,47,360,33,0
16/10/2001,10,13.1,27,360,29,0
16/10/2001,11,15,25,360,15,0
16/10/2001,12,16.9,20,360,17,0
16/10/2001,13,17.7,20,360,21,0
16/10/2001,14,16.9,18,360,25,0
16/10/2001,15,16.1,20,360,27,0
16/10/2001,16,15.8,20,360,37,0
16/10/2001,17,13.9,25,360,43,0
16/10/2001,18,12.1,35,360,45,0
16/10/2001,19,10.6,41,360,46,0
16/10/2001,20,11.3,39,360,18,0
16/10/2001,21,10.2,41,360,15,0
16/10/2001,22,8.8,55,360,36,0
16/10/2001,23,6.4,76,360,24,0.25
17/10/2001,0,4.6,84,360,19,0
17/10/2001,1,1.4,84,360,24,0
17/10/2001,2,0.7,78,360,17,0
17/10/2001,3,-1,100,360,18,0
17/10/2001,4,-0.7,92,360,22,0
17/10/2001,5,-2.1,96,360,1,0
17/10/2001,6,-1,86,360,2,0
17/10/2001,7,-3.8,96,360,0,0
17/10/2001,8,-1.4,67,360,12,0
17/10/2001,9,-0.7,53,360,17,0
17/10/2001,10,0,63,360,14,0
17/10/2001,11,2.1,37,360,25,0
17/10/2001,12,2.8,43,360,22,0
17/10/2001,13,3.5,43,360,26,0
17/10/2001,14,3.5,41,360,26,0
17/10/2001,15,3.9,35,360,24,0
17/10/2001,16,3.5,33,360,27,0
17/10/2001,17,2.8,29,360,18,0
17/10/2001,18,1.4,31,360,11,0
17/10/2001,19,0,37,360,21,0
17/10/2001,20,-0.7,37,360,14,0
17/10/2001,21,-0.3,33,360,19,0
17/10/2001,22,-0.3,33,360,31,0
17/10/2001,23,0,33,360,38,0
18/10/2001,0,-0.3,35,360,14,0
18/10/2001,1,-0.7,39,360,13,0
18/10/2001,2,-0.3,39,360,17,0
18/10/2001,3,0.4,39,360,14,0
18/10/2001,4,1.4,39,360,25,0
18/10/2001,5,1.8,39,360,37,0
18/10/2001,6,2.1,37,360,32,0
18/10/2001,7,2.5,39,360,38,0
18/10/2001,8,2.8,39,360,33,0
18/10/2001,9,3.9,35,360,40,0
18/10/2001,10,5.3,35,360,28,0
18/10/2001,11,5.7,33,360,30,0
18/10/2001,12,6.7,33,360,39,0
18/10/2001,13,6.7,31,360,31,0
18/10/2001,14,6.4,33,360,35,0
18/10/2001,15,5.7,33,360,29,0
18/10/2001,16,7.1,33,360,23,0
18/10/2001,17,6.4,33,360,22,0
18/10/2001,18,4.9,37,360,21,0
18/10/2001,19,4.2,37,360,15,0
18/10/2001,20,3.9,37,360,21,0
18/10/2001,21,3.9,39,360,20,0
18/10/2001,22,4.2,39,360,15,0
18/10/2001,23,4.2,39,360,17,0
19/10/2001,0,4.9,37,360,27,0
19/10/2001,1,3.9,41,360,26,0
19/10/2001,2,4.6,39,360,33,0
19/10/2001,3,4.6,39,360,22,0
19/10/2001,4,3.9,39,360,18,0
19/10/2001,5,4.6,41,360,28,0
19/10/2001,6,4.6,43,360,32,0
19/10/2001,7,4.2,43,360,20,0
19/10/2001,8,-0.3,63,360,0,0
19/10/2001,9,-1.4,67,360,7,0
19/10/2001,10,3.2,51,360,0,0
19/10/2001,11,7.4,37,360,13,0
19/10/2001,12,7.8,35,360,28,0
19/10/2001,13,8.1,31,360,27,0
19/10/2001,14,8.5,33,360,25,0
19/10/2001,15,7.8,31,360,19,0
19/10/2001,16,6,41,360,20,0
19/10/2001,17,6,47,360,18,0
19/10/2001,18,4.2,61,360,17,0
19/10/2001,19,2.8,67,360,2,0
19/10/2001,20,1.4,76,360,1,0
19/10/2001,21,-3.5,90,360,0,0
19/10/2001,22,-4.6,98,360,1,0
19/10/2001,23,-5.3,96,360,0,0
20/10/2001,0,-6.4,96,360,0,0
20/10/2001,1,-7.9,98,360,0,0
20/10/2001,2,-9,98,360,3,0
20/10/2001,3,-8.6,98,360,3,0
20/10/2001,4,-5.3,78,360,8,0
20/10/2001,5,-4.6,76,360,7,0
20/10/2001,6,-4.6,80,360,0,0
20/10/2001,7,-5.7,86,360,1,0
20/10/2001,8,-5.3,86,360,0,0
20/10/2001,9,-5.7,86,360,0,0
20/10/2001,10,-3.8,82,360,0,0
20/10/2001,11,1.1,61,360,10,0
20/10/2001,12,2.5,53,360,8,0
20/10/2001,13,2.8,53,360,12,0
20/10/2001,14,5.3,43,360,12,2.5
20/10/2001,15,6.7,27,360,12,0
20/10/2001,16,6,27,360,23,0
20/10/2001,17,5.3,29,360,24,0
20/10/2001,18,3.2,33,360,22,0
20/10/2001,19,1.8,37,360,7,0
20/10/2001,20,-0.7,59,360,12,0
20/10/2001,21,-3.5,76,360,3,0
20/10/2001,22,-4.9,82,360,0,0
20/10/2001,23,-5.3,88,360,0,0
21/10/2001,0,-3.8,82,360,0,0
21/10/2001,1,-3.8,82,360,0,0
21/10/2001,2,-3.5,80,360,0,0
21/10/2001,3,-3.1,86,360,1,0
21/10/2001,4,-2.4,86,360,0,0
21/10/2001,5,-2.4,86,360,2,0
21/10/2001,6,-2.1,82,360,7,0
21/10/2001,7,-2.4,82,360,7,0
21/10/2001,8,-2.8,84,360,3,0
21/10/2001,9,-3.1,88,360,0,0
21/10/2001,10,-2.4,82,360,7,0
21/10/2001,11,-0.7,73,360,0,0
21/10/2001,12,0.4,69,360,3,0
21/10/2001,13,2.8,59,360,11,0
21/10/2001,14,4.2,51,360,15,0
21/10/2001,15,3.9,51,360,16,0
21/10/2001,16,3.2,51,360,18,0
21/10/2001,17,1.1,78,360,4,0
21/10/2001,18,-0.3,88,360,12,0
21/10/2001,19,-0.7,84,360,6,0
21/10/2001,20,-1.4,84,360,9,0
21/10/2001,21,-2.1,86,360,4,0
21/10/2001,22,-2.8,88,360,0,0
21/10/2001,23,-3.8,94,360,0,0
22/10/2001,0,-3.8,94,360,0,0
22/10/2001,1,-3.8,96,360,0,0
22/10/2001,2,-4.6,96,360,0,0
22/10/2001,3,-5.3,98,360,0,0
